Data Term,Data Year,Row,Term Type,Updated,County Count,County,Data Term,Latitude (generated),Longitude (generated),Rank of Headcount Rank,Headcount
Spring 2018,2018,37199,Spring,1/29/18,1,Yancey,Spring 2018,35.8917,-82.2975,85,9
Spring 2018,2018,37197,Spring,1/29/18,1,Yadkin,Spring 2018,36.1664,-80.657,60,26
Spring 2018,2018,37195,Spring,1/29/18,1,Wilson,Spring 2018,35.7201,-77.9431,33,78
Spring 2018,2018,37193,Spring,1/29/18,1,Wilkes,Spring 2018,36.2151,-81.1701,55,34
Spring 2018,2018,37191,Spring,1/29/18,1,Wayne,Spring 2018,35.3725,-77.9812,30,87
Spring 2018,2018,37189,Spring,1/29/18,1,Watauga,Spring 2018,36.2514,-81.7044,45,51
Spring 2018,2018,37187,Spring,1/29/18,1,Washington,Spring 2018,35.8405,-76.5773,94,5
Spring 2018,2018,37185,Spring,1/29/18,1,Warren,Spring 2018,36.3734,-78.1029,75,15
Spring 2018,2018,37183,Spring,1/29/18,1,Wake,Spring 2018,35.798,-78.6094,1,2839
Spring 2018,2018,37181,Spring,1/29/18,1,Vance,Spring 2018,36.3447,-78.3979,46,49
Spring 2018,2018,37179,Spring,1/29/18,1,Union,Spring 2018,35.0113,-80.5626,7,539
Spring 2018,2018,37177,Spring,1/29/18,1,Tyrrell,Spring 2018,35.7969,-76.2575,99,1
Spring 2018,2018,37175,Spring,1/29/18,1,Transylvania,Spring 2018,35.2253,-82.7697,61,24
Spring 2018,2018,37173,Spring,1/29/18,1,Swain,Spring 2018,35.4872,-83.5969,91,6
Spring 2018,2018,37171,Spring,1/29/18,1,Surry,Spring 2018,36.4,-80.7065,34,72
Spring 2018,2018,37169,Spring,1/29/18,1,Stokes,Spring 2018,36.409,-80.2393,61,24
Spring 2018,2018,37167,Spring,1/29/18,1,Stanly,Spring 2018,35.323,-80.2478,51,38
Spring 2018,2018,37165,Spring,1/29/18,1,Scotland,Spring 2018,34.8371,-79.484,70,18
Spring 2018,2018,37163,Spring,1/29/18,1,Sampson,Spring 2018,34.9352,-78.3612,47,47
Spring 2018,2018,37161,Spring,1/29/18,1,Rutherford,Spring 2018,35.3967,-81.9147,43,52
Spring 2018,2018,37159,Spring,1/29/18,1,Rowan,Spring 2018,35.6834,-80.5507,23,108
